;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)

;winbond
W25M512JV, 0xEF7119, 0x20000000, 0x1000, 0x20, 64, 0
W25Q80BL, 0xEF4014,  0x800000, 0x1000, 0x20, 64, 0
W25Q80EW, 0xEF6014, 0x800000, 0x1000, 0x20, 64, 0
W25X40CL, 0xEF3013,  0x400000, 0x1000, 0x20, 64, 0
W25Q40CL, 0xEF4013,  0x400000, 0x1000, 0x20, 64, 0
W25Q40EW, 0xEF6013, 0x400000, 0x1000, 0x20, 64, 0
W25X20CL, 0xEF3012,  0x200000, 0x1000, 0x20, 64, 0
W25Q20CL, 0xEF4012,  0x200000, 0x1000, 0x20, 64, 0
W25Q20EW, 0xEF6012, 0x200000, 0x1000, 0x20, 64, 0
W25X10CL, 0xEF3011,  0x100000, 0x1000, 0x20, 64, 0
W25Q10EW, 0xEF6011, 0x100000, 0x1000, 0x20, 64, 0
W25X05CL, 0xEF3010,  0x8000, 0x1000, 0x20, 64, 0    
W25Q128JVSIQ, Ef4018, 0x8000000, 0x1000, 0x20, 64, 0
W25Q80DL, EF4014, 0x800000, 0x1000, 0x20, 64, 0
W25Q16JL, EF4015, 0x1000000, 0x1000, 0x20, 64, 0
W25Q257FV, EF4019, 0x10000000, 0x1000, 0x20, 64, 0
W25R256FV, EF4019, 0x10000000, 0x1000, 0x20, 64, 0
W25M256JV, EF7118, 0x10000000, 0x1000, 0x20, 64, 0

;macronix
MX25L12875F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L12835F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L6473E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L3273E,   0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L1673E,   0xC22415,  0x1000000,  0x1000,  0x20, 64, 0
MX25L8075E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L12873F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L8073E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L6450F,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L12850F,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L3273F, 0xC22016,  0x2000000,  0x1000,  0x20, 64, 0
MX25L6473F, 0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L25735F, 0xC22019,  0x10000000,  0x1000,  0x20, 64, 0
MX25L6445E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L6455E,   0xC22617,  0x4000000,  0x1000,  0x20, 64, 0
MX25L12855E,  0xC22618,  0x8000000,  0x1000,  0x20, 64, 0
MX25L6436E,   0xC22017,  0x4000000,  0x1000,  0x20, 64, 0
MX25L12836E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L8036E,   0xC22014,   0x800000,  0x1000,  0x20, 64, 0
MX25L1636E,   0xC22515,  0x1000000,  0x1000,  0x20, 64, 0
MX25L12865E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L6495F,   0xC29517,  0x4000000, 0x1000,  0x20, 64, 0

MX25L12835E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0

MX25L12845E,  0xC22018,  0x8000000,  0x1000,  0x20, 64, 0
MX25L25635E, 0xC22019,  0x10000000,  0x1000,  0x20, 64, 0

MX25U1635F, 0xC22535h, 0x1000000,  0x1000,  0x20, 64, 0
MX25U3235F, 0xC22536h, 0x2000000,  0x1000,  0x20, 64, 0
MX25U6473F, 0xC22537h, 0x4000000,  0x1000,  0x20, 64, 0
MX25U6435F, 0xC22537h, 0x4000000,  0x1000,  0x20, 64, 0
MX25U12835F, 0xC22538h, 0x8000000,  0x1000,  0x20, 64, 0
MX25U12873F, 0xC22538h, 0x8000000,  0x1000,  0x20, 64, 0
MX25U25635F, 0xC22539h, 0x10000000,  0x1000,  0x20, 64, 0
MX25L25673G, 0xC22019h, 0x10000000,  0x1000,  0x20, 64, 0
MX66L51235F, 0xC2201Ah, 0x8000000,  0x1000,  0x20, 64, 0
MX25L51245G, 0xC2201Ah, 0x8000000,  0x1000,  0x20, 64, 0
MX25L12873G, 0xC22018h, 0x8000000,  0x1000,  0x20, 64, 0
MX25U8033E, 0xC22534h, 0x800000,  0x1000,  0x20, 64, 0
MX25U1635F, 0xC22535h, 0x1000000,  0x1000,  0x20, 64, 0
MX25U3273F, 0xC22536h, 0x2000000,  0x1000,  0x20, 64, 0
MX25U6473F, 0xC22537h, 0x4000000,  0x1000,  0x20, 64, 0
MX25U12873F, 0xC22538h, 0x8000000,  0x1000,  0x20, 64, 0
MX25U25635F, 0xC22539h, 0x10000000,  0x1000,  0x20, 64, 0
MX25L8073E, 0xC22014h, 0x800000,  0x1000,  0x20, 64, 0
MX25L1673E, 0xC22415h, 0x1000000,  0x1000,  0x20, 64, 0
MX25L3273F, 0xC22016h, 0x2000000,  0x1000,  0x20, 64, 0
MX25L6473F, 0xC22017h, 0x4000000,  0x1000,  0x20, 64, 0
MX25L6450F, 0xC22017h, 0x4000000,  0x1000,  0x20, 64, 0
MX25L12850F, 0xC22018h, 0x8000000,  0x1000,  0x20, 64, 0
MX25L12873F, 0xC22018h, 0x8000000,  0x1000,  0x20, 64, 0
MX25L25673G, 0xC22019h, 0x10000000,  0x1000,  0x20, 64, 0
MX25L25673G, 0xC2201Ah, 0x20000000,  0x1000,  0x20, 64, 0

;micron
N25Q128,     	  0x20BA18, 0x8000000,  0x1000, 0x20, 64, 0
N25Q032,     	  0x20BB16, 0x2000000,  0x1000, 0x20, 64, 0
N25Q064,     	  0x20BA17, 0x4000000, 0x1000, 0x20, 64, 0
N25Q016,     	  0x20BA15, 0x1000000,  0x1000, 0x20, 64, 0
N25Q128A,    	  0x20BB18, 0x8000000,  0x1000, 0x20, 64, 0
N25Q256A,   	  0x20BB19, 0x10000000,  0x1000, 0x20, 64, 0
N25Q064A11EF640E, 0x20BB17, 0x4000000,  0x1000, 0x20, 64, 0
MT25QL256ABA1EW9-0SIT, 0x20BA19, 0x10000000,  0x1000, 0x20, 64, 0
MT25QL512ABA,0x20BA20, 0x20000000,  0x1000, 0x20, 64, 0	
MT25QU128ABA1ESE, 0x20BB18, 0x8000000,  0x1000, 0x20, 64, 0
N25Q064A11ESEA0F, 0x20BB17, 0x4000000, 0x1000, 0x20, 64, 0

;EON / ESMT
EN25QH256,   0x1C7019, 0x10000000, 0x1000, 0x20, 64, 0
EN25QH128A,  0x1C7018, 0x8000000,   0x1000, 0x20, 64, 0
EN25QH64A,   0x1C7017, 0x4000000,   0x1000, 0x20, 64, 0
EN25QH80,    0x1C7014, 0x800000,   0x1000, 0x20, 64, 0
EN25QH16A,   0x1C7015, 0x1000000,   0x1000, 0x20, 64, 0
EN25QH32A,   0x1C7016, 0x2000000,   0x1000, 0x20, 64, 0
EN25QH64,    0x1C7017, 0x4000000,  0x1000, 0x20, 64, 0
EN25Q40A,    0x1C3013, 0x400000,   0x1000, 0x20, 64, 0
EN25Q80B,    0x1C3014, 0x800000,   0x1000, 0x20, 64, 0
EN25S64,     0x1C3817, 0x4000000,   0x1000, 0x20, 64, 0
EN25S64A,    0x1C3817, 0x4000000,   0x1000, 0x20, 64, 0
EN25S10A,    0x1C3811, 0x100000,   0x1000, 0x20, 64, 0
EN25S20A,    0x1C3812, 0x200000,   0x1000, 0x20, 64, 0
EN25S40A,    0x1C3813, 0x400000,   0x1000, 0x20, 64, 0
EN25S80A,    0x1C3814, 0x800000,   0x1000, 0x20, 64, 0
EN25S32,     0x1C3816, 0x2000000,   0x1000, 0x20, 64, 0
EN25QH16,    0x1C7015, 0x0x1000000,  0x1000, 0x20, 64, 0
EN25QH32,    0x1C7016, 0x0x2000000,  0x1000, 0x20, 64, 0
EN25QH128,   0x1C7018, 0x0x8000000,  0x1000, 0x20, 64, 0

;gigadevice
GD25B16B,    0xC84015, 0x1000000,  0x1000, 0x20, 64, 0
GD25B32B,    0xC84016, 0x2000000,  0x1000, 0x20, 64, 0
GD25B64B,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25B128C,   0xC84018, 0x8000000,  0x1000, 0x20, 64, 0
GD25LQ64C,   0xC86017, 0x4000000,  0x1000, 0x20, 64, 0
GD25R64B,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25B64C,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25R64C,    0xC84017, 0x4000000,  0x1000, 0x20, 64, 0
GD25R128C,   0xC84018, 0x8000000,  0x1000, 0x20, 64, 0
GD25LB64,    0xC86017, 0x4000000,  0x1000, 0x20, 64, 0
GD25LB128,   0xC86018, 0x8000000,  0x1000, 0x20, 64, 0
GD25Q256C,   0xC84019, 0x10000000, 0x1000, 0x20, 64, 0
GD25LQ256C,  0xC86019, 0x10000000, 0x1000, 0x20, 64, 0
GD25R127C,   0xC84018, 0x8000000,  0x1000, 0x20, 64, 0
GD25B256C,   0xC84019, 0x10000000,  0x1000, 0x20, 64, 0
GD25B127D,   0xC84018, 0x8000000,  0x1000, 0x20, 64, 0   
GD25LB128D,   0xC86018, 0x8000000,  0x1000, 0x20, 64, 0
GD25LB256D,   0xC86019, 0x10000000,  0x1000, 0x20, 64, 0

;Adesto 
AT25SF641,   0x1F3217, 0x4000000,  0x1000, 0x20, 64, 0
AT25SL128A,  0x1F4218, 0x8000000,  0x1000, 0x20, 64, 0
AT25SL641,   0x1F4317, 0x4000000,  0x1000, 0x20, 64, 0
AT25SL321,   0x1F4216, 0x2000000,  0x1000, 0x20, 64, 0
AT25SF128,   0x1F7018, 0x8000000,  0x1000, 0x20, 64, 0
AT25QF128,   0x1F7018, 0x8000000,  0x1000, 0x20, 64, 0
AT25QF641,   0x1F3217, 0x4000000,  0x1000, 0x20, 64, 0
AT25QL128A,   0x1F4218, 0x8000000,  0x1000, 0x20, 64, 0
AT25QL641,   0x1F4317, 0x4000000,  0x1000, 0x20, 64, 0 
AT25QL321,   0x1F4216, 0x2000000,  0x1000, 0x20, 64, 0


;ISSI
IS25LP256A,   0x9D6019, 0x10000000,  0x1000, 0x20, 64, 0
IC25LP256A,   0x9D6019, 0x10000000,  0x1000, 0x20, 64, 0
IS25LP128,   0x9D6018, 0x8000000,  0x1000, 0x20, 64, 0
IC25LP128,   0x9D6018, 0x8000000,  0x1000, 0x20, 64, 0
IS25LP064A,   0x9D6017, 0x4000000,  0x1000, 0x20, 64, 0
IC25LP064A,   0x9D6017, 0x4000000,  0x1000, 0x20, 64, 0
IS25WP256A,   0x9D7019, 0x10000000,  0x1000, 0x20, 64, 0
IC25WP256A,   0x9D7019, 0x10000000,  0x1000, 0x20, 64, 0
IS25WP128,   0x9D7018, 0x8000000,  0x1000, 0x20, 64, 0
IC25WP128,   0x9D7018, 0x8000000,  0x1000, 0x20, 64, 0
IS25WP064,   0x9D7017, 0x4000000,  0x1000, 0x20, 64, 0
IC25WP064,   0x9D7017, 0x4000000,  0x1000, 0x20, 64, 0
IS25WP064A,   0x9D7017, 0x4000000,  0x1000, 0x20, 64, 0
IC25WP064A,   0x9D7017, 0x4000000,  0x1000, 0x20, 64, 0






